8405110	75104	75.11.4	None
5129472	12300	63.40	52.29
797545	75404	75.11.31	84.11.3
4027106	75404	None	84.11.3
2602474	75404	75.11.31	None
883956	65241	63.22	None
486039	75104	75.11.11	84.11.11
1855057	12267	63.40	52.29
1781433	12247	65.12	64.19
2187420	75104	75.11.12	84.11.12
8709173	12300	70.32.1	68.32.1
8785035	12300	51.1	46.1
1721802	75404	75.11.31	84.11.3
2560037	12267	None	20.13
7243294	12300	70.32.1	None
195108	75404	75.11.31	84.11.3
3072899	12300	73.10	72.19
9450630	75404	70.32.1	None
3087296	12267	None	35.11.1
4817642	75104	75.11.12	84.11.12
9486520	12300	61.10.2	50.20
69112	75204	None	None
86496	75104	75.1	84.1
3507891	12300	None	None
2908851	75204	75.11.21	84.11.21
9397145	75104	None	None
6115872	75104	75.24.2	None
3543622	12300	63.11	None
778754	12247	40.10.11	35.11.1
3212170	12267	None	71.11.1
357756	75104	75.11.4	84.11.4
9220346	12300	70.32.1	68.32.1
4381028	65243	None	None
3379587	75104	75.11	None
1057268	12300	70.20	68.20
3642952	20107	65.1	64.1
5129472	12300	63.40	52.29
805333	75104	75.11.8	None
8186358	12300	52.31	47.73
4675180	12300	35.11.9	33.15
649498	75204	75.11.8	84.11.8
2417931	75204	75.11.21	None
3613887	12247	65.12	64.19
2046033	75104	75.22	None
3448672	12267	65.12	64.19
4044587	12300	51.51.2	None
9324550	75104	75.11.4	None
778754	12247	40.10.11	35.11.1
9475203	65243	None	95.21
965465	12267	63.40	None
3852803	12300	13.20.41	None
5343741	75104	75.11.4	84.11.4
9443141	65241	01.13.3	None
1766575	12247	45.21.1	41.20
86496	75104	75.1	84.1
1044800	12300	51.46.1	46.46.1
7974669	75104	75.11.4	84.11.4
2973349	12300	70.32	68.32
646542	75404	75.11.31	84.11.3
883956	65241	63.22	None
1782392	12267	70.20.2	68.20.2
4814218	12300	65.12	64.19
86225	12247	None	None
5527336	12300	02.01.1	02.20
4187894	12300	63.22	52.22
1973207	12300	45.21	41.20
391329	12267	63.11	52.24
2239056	12300	36.1	31.0
7434480	12300	70.32.1	68.32.1
7635643	12247	63.23.4	None
357756	75104	75.11.4	84.11.4
6833720	75104	75.11.8	None
9669142	12300	63.21.24	52.21.24
7070826	12300	None	52.29
3379587	75104	75.11	None
15830	75104	75.22	84.22
2567724	75404	75.11.31	84.11.3
9380142	12300	51.32.11	None
5282933	75403	85.11	None
5129472	12300	63.40	52.29
5971922	12300	50.10	45.1
3294157	65242	40.30.1	35.30.1
327485	75404	75.11.31	84.11.3
4920338	12300	26.6	23.6
518723	75404	75.11.31	84.11.3
2482766	12300	45.1	43.12
4149013	12247	65.12	64.19
5438470	75104	75.11.12	84.11.12
8015901	65243	None	None
9454399	12300	70.20.2	None
778754	12247	40.10.11	35.11.1
3142903	None	60.2	None
42455	12247	64.20	61.10
806044	12300	None	01.11
9472802	12267	45.25.4	None
3087296	12267	None	35.11.1
221574	75404	75.11.3	84.11.3
15830	75104	75.22	84.22
3534383	12300	45.21	41.20
9515856	12300	05.0	03.1
3026868	12300	51.4	46.4
3513508	75104	75.24	84.24
373286	12247	None	66.2
5774727	75104	75.11.4	None
9585177	75104	75.11.2	84.11.2
5552802	65242	40.30.2	35.30.2
2287093	75104	75.11.13	84.11.13
3468282	12300	50.20.1	None
3511622	12300	01.11	None
3425649	12300	45.21.1	41.20
3379587	75104	75.11	None
5129472	12300	63.40	52.29
82454	75104	75.11.11	84.11.11
4374890	12300	45.21.2	42.11
9353274	12267	05.01.12	None
4817642	75104	75.11.12	84.11.12
1721991	12300	60.10	49.10
4070710	12300	45.23.1	None
315433	65241	None	61.10
3565324	75104	75.1	84.1
7378270	12300	45.2	41.2
3460067	12300	02.01.1	02.20
3321054	12300	45.31	None
677491	12300	51.38.1	46.38.1
2614492	12300	51.51.1	None
2140488	12267	51.52.2	46.72.2
3142535	12247	None	41.20
86496	75104	75.1	84.1
9499265	75104	75.11.4	None
3534383	12300	45.21	41.20
19862	75404	75.11.31	84.11.3
2395511	12300	35.1	30.1
9605497	75104	75.22	None
272873	75404	75.11.31	84.11.3
3513508	75104	75.24	84.24
6102851	12300	None	None
3404716	75104	75.1	84.1
2377450	12267	None	33.15
2130917	12300	None	46.43.1
3379587	75104	75.11	None
7432097	12300	None	None
8405110	75104	75.11.4	None
4126141	12300	51.19	46.19
222239	12247	65.12	64.19
2472299	12300	51.1	46.1
327485	75404	75.11.31	84.11.3
3379491	12300	51.66	None
467694	75204	75.1	84.1
1836874	20210	None	None
4987122	75104	75.11.4	84.11.4
3093512	75404	75.11.31	None
1002624	12300	45.21	41.20
3087296	12267	None	35.11.1
518723	75404	75.11.31	84.11.3
578926	12300	70.32.1	68.32.1
86496	75104	75.1	84.1
2766786	12247	40.10.3	35.13
4461003	12300	01.11.1	01.11.1
3534383	12300	45.21	41.20
8486331	12300	50.40.1	None
425337	12247	02.01.1	02.20
5050415	12300	92.62	93.19
1810355	12300	23.20	19.20
3513508	75104	75.24	84.24
4206	12247	None	49.10
8113503	12300	05.01.11	03.11
3644361	12300	01.11.1	01.11.1
7026953	75103	70.32.3	68.32
3379587	75104	75.11	None
8405110	75104	75.11.4	None
5129472	12300	63.40	52.29
646542	75404	75.11.31	84.11.3
3404716	75104	75.1	84.1
2217746	75104	75.24	84.24
2659646	75404	75.11.31	84.11.3
649498	75204	75.11.8	84.11.8
3578377	71400	80.10.1	85.11
796389	12267	None	10.20
327485	75404	75.11.31	84.11.3
8679966	12300	70.32	68.32
455872	12300	71.21.1	77.39.1
3480704	75104	75.11.4	84.11.4
4821709	12300	13.20.41	07.29.41
864703	65243	35.12	35.12
359147	None	None	None
5995513	12300	63.40	52.29
7974669	75104	75.11.4	84.11.4
9521948	12300	70.32.1	68.32.1
467694	75204	75.1	84.1
3087296	12267	None	35.11.1
7822605	75103	75.30	None
2591456	None	01.11.3	None
3310578	75204	75.11.21	84.11.21
9447091	12300	None	None
2766786	12247	40.10.3	35.13
9421023	12300	74.6	None
6401648	12300	20.1	16.1
1220479	12267	None	49.10.1
5978803	12300	50.1	45.1
9294533	12267	None	None
272873	75404	75.11.31	84.11.3
3448154	65242	None	36.00
8405205	12300	70.20.2	None
34044	12247	50.20	50.20
3254709	20716	70.2	68.2
3681207	75104	75.11.2	84.11.2
2426625	12300	71.21.1	77.39.1
1797170	12300	74.1	None
131061	75204	75.11.21	None
3379587	75104	75.11	None
9341645	12247	63.11.2	52.24.2
8405110	75104	75.11.4	None
2703063	75103	92.53	None
649498	75204	75.11.8	84.11.8
3294157	65242	40.30.1	35.30.1
8901777	12300	63.4	52.29
18502	75104	75.11.8	84.11.8
8416432	75104	75.11.4	None
1850250	75104	75.11.8	None
3087296	12267	None	35.11.1
3651044	12300	45.23.1	None
4126141	12300	51.19	46.19
768874	75203	75.11.21	84.11.21
6996322	12300	74.1	None
3513508	75104	75.24	84.24
9585177	75104	75.11.2	84.11.2
8113503	12300	05.01.11	03.11
8516797	12267	None	None
8087022	12247	05.01.12	03.11
3670325	12247	40.10.2	35.12
9522381	65243	40.10.5	35.12
5632929	12300	45.21.6	None
2085291	12247	45.21.4	None
3636080	75104	75.1	84.1
2760368	75404	75.11.31	None
7961686	12300	None	49.31.21
3485037	75104	75.1	None
9420516	12300	50.10.1	45.11.1
19862	75404	75.11.31	84.11.3
9481434	12300	52.31	None
5774727	75104	75.11.4	None
3616941	75104	75.11.12	None
8716885	12300	51.51	46.71
3404715	75104	75.1	84.1
6129719	12300	45.21.2	42.11
760175	12300	05.01	03.1
5684605	12300	65.21	64.91
3534383	12300	45.21	41.20
9402813	12300	70.2	None
3653114	75104	75.11	84.11
3468421	75104	75.11.12	84.11.12
9461643	75104	75.24.1	84.24
5391914	75104	75.11.13	84.11.13
4598224	12247	23.20	19.20
7026953	75103	70.32.3	68.32
327485	75404	75.11.31	84.11.3
8405110	75104	75.11.4	None
3087296	12267	None	35.11.1
988239	75104	75.24.1	84.24
2435891	12300	05.01.12	03.11
9389888	None	15.41.2	None
5343741	75104	75.11.4	84.11.4
5464846	12300	45.1	43.12
5978803	12300	50.1	45.1
283637	12300	45.2	41.2
327485	75404	75.11.31	84.11.3
9609854	12300	52.2	47.2
518723	75404	75.11.31	84.11.3
4232814	12300	05.01	03.1
19862	75404	75.11.31	84.11.3
9350511	12267	64.20	None
5552208	75403	92.13	59.14
3142535	12247	None	41.20
425337	12247	02.01.1	02.20
9531706	12300	None	None
467694	75204	75.1	84.1
5372305	75404	75.11.31	84.11.3
4585642	12300	15.20	10.20
827066	75404	75.11.31	84.11.3
9456861	75404	75.11.31	84.11.3
1238673	12300	74.7	81.22
205025	12300	14.50.29	08.99
9437040	12300	18.22.1	14.13.2
1860848	12300	51.51.2	46.71.2
3534383	12300	45.21	41.20
646542	75404	75.11.31	84.11.3
3613887	12247	65.12	64.19
8416432	75104	75.11.4	None
272873	75404	75.11.31	84.11.3
3420957	75104	75.11.4	84.11.4
3513508	75104	75.24	84.24
3104070	75104	75.11.4	84.11.4
2287093	75104	75.11.13	84.11.13
8516797	12267	None	None
357756	75104	75.11.4	84.11.4
4369227	12300	51.38.1	46.38.1
3934	75404	75.11.31	84.11.3
5609937	12300	01.41.1	01.61
5444667	75403	80.21.2	None
5394724	12300	51.31	46.31
2954637	12300	51.53	46.73
86226	12267	None	None
649498	75204	75.11.8	84.11.8
4622084	75104	75.11.12	84.11.12
518723	75404	75.11.31	84.11.3
9520932	75104	75.11.7	None
768050	75104	75.11.12	84.11.12
42455	12247	64.20	61.10
3087296	12267	None	35.11.1
2174963	12300	90.00.1	37.00
9548019	75104	75.23.13	84.23.13
1766575	12247	45.21.1	41.20
15830	75104	75.22	84.22
785912	75404	75.11.31	None
3499123	12300	66.03	None
3513508	75104	75.24	84.24
4206	12247	None	49.10
8087019	65243	40.30.14	35.30.14
9380032	15300	11.10.1	01.11
5863740	12300	None	33.13
3750593	75104	75.25.2	84.25.9
471407	12300	45.32	43.99.1
3440865	12247	40.10	35.11
327485	75404	75.11.31	84.11.3
4025314	12300	51.18.26	35.14
9533986	12300	28.22.2	25.21.2
3943727	12300	45.21.1	41.20
1894048	75404	75.11.31	None
3294157	65242	40.30.1	35.30.1
6132835	12300	01.11.1	01.11.1
6534743	75204	75.11.21	None
6310753	12300	None	46.49
8535217	75204	75.11.21	84.11.21
117126	12300	51.65.5	46.69.5
195108	75404	75.11.31	84.11.3
8517325	75203	85.11	None
3534383	12300	45.21	41.20
5525596	12267	40.30.1	None
3653114	75104	75.11	84.11
9610193	75104	75.11.12	84.11.12
5543677	12300	70.32	68.32
8567522	12300	70.32.1	68.32.1
777326	12247	61.10.2	50.20
5375293	None	60.24.2	None
627674	75404	75.11.31	84.11.3
2984901	12267	70.20.2	68.20.2
4205848	12300	70.31.2	68.31.5
1740787	12300	45.21.1	None
649498	75204	75.11.8	84.11.8
2209897	12300	20.10	16.10
9353274	12267	05.01.12	None
8872771	65243	93.04	96.04
327485	75404	75.11.31	84.11.3
988039	75404	75.11.31	84.11.3
518723	75404	75.11.31	84.11.3
9401951	75104	75.11.4	84.11.4
2760368	75404	75.11.31	None
1298533	12300	45.21	41.20
5715111	12300	45.21.1	41.20
8693742	12300	70.1	68.1
6534743	75204	75.11.21	None
2073084	12267	40.3	35.3
3861263	75203	70.32.1	68.32.1
3294157	65242	40.30.1	35.30.1
3616941	75104	75.11.12	None
3087296	12267	None	35.11.1
2349950	75103	61.10.2	50.20
622262	75104	75.11.12	84.11.12
3483087	12300	70.32.1	68.32.1
3711398	12300	51.47	46.49
654535	12300	66.03	None
2766786	12247	40.10.3	35.13
8264970	12300	70.20.2	68.20.2
2417931	75204	75.11.21	None
9417791	65241	45.21.1	None
8040757	12300	70.20.2	68.20.2
4805311	75104	75.11.13	None
4920199	75404	75.11.31	84.11.3
75986	75404	75.11.31	84.11.3
5489612	75103	75.22	84.22
4206	12247	None	49.10
675761	12300	66.03.2	65.12.2
6123520	12300	51.4	46.4
3789570	75104	75.11.12	None
8966780	75104	75.11.12	84.11.12
6102851	12300	None	None
8557146	75204	75.11.21	84.11.21
125926	12267	63.11	52.24
8405110	75104	75.11.4	None
5623919	12267	61.20.2	50.40
5268338	12247	35.11	None
3569395	12300	51.53	46.73
975575	12300	70.32	68.32
8587079	12300	45.21.3	None
9398469	12300	None	None
2209897	12300	20.10	16.10
7613940	None	None	94.99
8503088	65242	40.10	35.11
5417273	12300	45.2	41.2
327485	75404	75.11.31	84.11.3
809477	12300	50.10	45.1
4905571	12300	63.21.24	None
778754	12247	40.10.11	35.11.1
8393273	75104	75.22	84.22
5470606	12300	13.20.41	None
42455	12247	64.20	61.10
3598413	75104	75.1	84.1
221574	75404	75.11.3	84.11.3
3087296	12267	None	35.11.1
815488	None	22.2	None
2153136	12300	51.53.24	None
947121	12300	45.2	41.2
15830	75104	75.22	84.22
